City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,70.79,57,0,12.75,PN,1686240627
1,sechura,-5.5569,-80.8222,81.01,62,99,10.47,PE,1686240627
2,gadzhiyevo,69.2551,33.3362,40.77,61,100,18.7,RU,1686240627
3,port-aux-francais,-49.35,70.2167,41.04,67,33,18.3,TF,1686240627
4,aykhal,66.0,111.5,51.67,56,58,6.96,RU,1686240422
5,keflavik,64.0049,-22.5624,48.63,100,100,25.32,IS,1686240627
6,kailua-kona,19.6406,-155.9956,73.36,90,0,5.99,US,1686240627
7,ilulissat,69.2167,-51.1,33.82,69,20,6.91,GL,1686240628
8,goldsboro,35.3849,-77.9928,72.19,73,75,6.91,US,1686240354
9,fale old settlement,-9.3852,-171.2468,83.08,76,81,9.98,TK,1686240628
10,shumikha,55.2261,63.2961,59.29,64,56,5.82,RU,1686240628
11,ushuaia,-54.8,-68.3,35.22,80,20,3.44,AR,1686240628
12,misratah,32.3754,15.0925,73.83,61,28,9.42,LY,1686240628
13,iqaluit,63.7506,-68.5145,38.7,80,100,5.99,CA,1686240628
14,grytviken,-54.2811,-36.5092,36.28,89,100,3.65,GS,1686240628
15,quepos,9.4236,-84.1652,84.58,71,49,3.09,CR,1686240629
16,kolokani,13.5728,-8.0339,102.63,17,100,6.96,ML,1686240629
17,thompson,55.7435,-97.8558,75.33,43,0,8.39,CA,1686240629
18,boali,4.8005,18.1275,73.13,93,96,5.46,CF,1686240629
19,bilibino,68.0546,166.4372,50.76,50,3,3.4,RU,1686240629
20,khandyga,62.6667,135.6,51.28,66,89,3.74,RU,1686240629
21,nar'yan-mar,67.6713,53.087,44.56,69,100,7.58,RU,1686240629
22,edinburgh of the seven seas,-37.0676,-12.3116,61.57,85,42,35.19,SH,1686240630
23,salahonda,2.1019,-78.7217,81.1,80,100,7.05,CO,1686240630
24,hamilton,39.1834,-84.5333,73.44,35,0,11.5,US,1686240548
25,garupa,-27.4817,-55.8292,79.92,61,0,6.91,AR,1686240630
26,dishman,47.6601,-117.276,74.48,67,75,6.91,US,1686240630
27,sokoni,-6.4333,39.55,79.48,77,12,13.62,TZ,1686240630
28,karema,-6.8205,30.4389,74.75,58,0,2.77,TZ,1686240630
29,blackmans bay,-43.0167,147.3167,48.33,90,60,9.86,AU,1686240630
30,punta arenas,-53.15,-70.9167,33.91,93,75,4.61,CL,1686240605
31,new norfolk,-42.7826,147.0587,49.5,84,50,5.93,AU,1686240631
32,tangalle,6.024,80.7911,82.56,84,15,11.59,LK,1686240631
33,alta,69.9689,23.2717,42.06,75,75,17.27,NO,1686240631
34,waitangi,-43.9535,-176.5597,49.82,63,65,6.46,NZ,1686240631
35,carnarvon,-24.8667,113.6333,65.55,57,0,14.32,AU,1686240631
36,college,64.8569,-147.8028,62.8,67,75,3.44,US,1686240631
37,haiku-pauwela,20.9219,-156.3051,75.04,82,20,3.44,US,1686240631
38,zuunmod,47.7069,106.9528,49.23,68,9,5.21,MN,1686240632
39,atafu village,-8.5421,-172.5159,83.03,75,79,9.71,TK,1686240632
40,bethel,41.3712,-73.414,67.73,61,40,3.44,US,1686240632
41,nadym,65.5333,72.5167,47.43,53,44,11.3,RU,1686240632
42,la ronge,55.1001,-105.2842,67.32,42,0,6.91,CA,1686240632
43,balneario camboriu,-26.9906,-48.6347,80.82,64,0,4.61,BR,1686240632
44,west island,-12.1568,96.8225,80.58,83,75,17.27,CC,1686240632
45,antsiranana,-12.2787,49.2917,76.06,73,0,14.27,MG,1686240632
46,wailua homesteads,22.0669,-159.378,74.19,81,40,8.05,US,1686240633
47,naryn,41.4287,75.9911,59.76,43,0,5.82,KG,1686240381
48,viedma,-40.8135,-62.9967,72.79,34,83,27.16,AR,1686240633
49,lakatoro,-16.0999,167.4164,72.28,75,36,9.35,VU,1686240633
50,invercargill,-46.4,168.35,37.29,94,35,4.21,NZ,1686240633
51,isafjordur,66.0755,-23.124,50.04,76,100,5.75,IS,1686240633
52,sisimiut,66.9395,-53.6735,35.44,68,88,6.04,GL,1686240633
